epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,213.581,0.75039,0.87099,1.25492,0.62055,1,0.66333,0.34687,2.37775,2.23114,2.86278,0.000511769,0.000511769,0.000511769
72,214.766,0.76305,0.89688,1.24577,0.54515,0.96808,0.74625,0.47263,1.77101,2.10754,2.34492,0.000495266,0.000495266,0.000495266
73,215.916,0.6892,0.81553,1.17056,0.601,0.98908,0.74625,0.44775,1.62571,1.66076,2.21055,0.000478762,0.000478762,0.000478762
74,217.065,0.82014,0.87301,1.26341,0.70213,1,0.74625,0.44775,1.59452,1.41861,2.24377,0.000462259,0.000462259,0.000462259
75,218.201,0.72515,0.94629,1.20199,0.78856,1,0.995,0.597,1.5187,1.28485,2.3014,0.000445756,0.000445756,0.000445756
76,219.404,0.62398,0.82612,1.16556,0.8446,1,0.995,0.6965,1.49271,1.28025,2.16405,0.000429253,0.000429253,0.000429253
77,220.571,0.71753,0.78706,1.25354,0.77048,1,0.995,0.597,1.5558,1.24854,2.15474,0.000412749,0.000412749,0.000412749
78,221.74,0.68513,0.80715,1.17229,0.74018,1,0.995,0.597,1.53594,1.20625,2.19804,0.000396246,0.000396246,0.000396246
79,222.885,0.69404,0.82981,1.1927,0.62106,1,0.995,0.64675,1.52346,1.24139,2.19312,0.000379743,0.000379743,0.000379743
80,224.045,0.68977,0.77152,1.20233,0.60206,1,0.995,0.64675,1.53585,1.46997,2.14031,0.000363239,0.000363239,0.000363239
81,225.207,0.68359,0.74436,1.11827,0.60928,1,0.995,0.64675,1.57513,1.45866,2.14678,0.000346736,0.000346736,0.000346736
82,226.35,0.68172,0.83015,1.15232,0.63498,1,0.995,0.597,1.69577,1.31327,2.23959,0.000330233,0.000330233,0.000330233
83,227.509,0.66046,0.82413,1.1866,0.73617,1,0.995,0.54725,1.93324,1.27174,2.4008,0.000313729,0.000313729,0.000313729
84,228.685,0.66427,0.79836,1.14489,0.67258,1,0.995,0.398,2.20923,1.44354,2.76405,0.000297226,0.000297226,0.000297226
85,229.839,0.59996,0.71045,1.10879,0.68999,1,0.995,0.398,2.22146,1.38581,2.84952,0.000280723,0.000280723,0.000280723
86,230.993,0.69222,0.69818,1.17104,0.78993,1,0.995,0.4975,2.15081,1.20424,2.8458,0.00026422,0.00026422,0.00026422
87,232.131,0.74152,0.78539,1.20462,0.87734,1,0.995,0.4975,2.01837,1.01402,2.80663,0.000247716,0.000247716,0.000247716
88,233.291,0.59272,0.78019,1.09042,0.93681,1,0.995,0.4975,2.04786,0.98122,2.7903,0.000231213,0.000231213,0.000231213
89,234.455,0.67618,0.75325,1.12936,0.95511,1,0.995,0.4975,2.05905,1.00286,2.75665,0.00021471,0.00021471,0.00021471
90,235.634,0.62088,0.69612,1.12654,0.95772,1,0.995,0.4975,2.07883,0.98341,2.74646,0.000198206,0.000198206,0.000198206
91,241.984,0.56045,1.00058,1.17772,0.95286,1,0.995,0.4975,2.06812,0.9393,2.72874,0.000181703,0.000181703,0.000181703
92,243.148,0.62095,1.03684,1.23618,0.92201,1,0.995,0.54725,1.9976,0.9491,2.7005,0.0001652,0.0001652,0.0001652
93,244.292,0.58383,0.85566,1.16417,0.90889,1,0.995,0.54725,1.97251,0.99884,2.71718,0.000148696,0.000148696,0.000148696
94,245.459,0.59564,0.92102,1.19874,0.88241,1,0.995,0.54725,1.91592,1.04411,2.70229,0.000132193,0.000132193,0.000132193
95,246.612,0.47635,0.78778,1.05787,0.86183,1,0.995,0.54725,1.88332,1.08098,2.69762,0.00011569,0.00011569,0.00011569
96,247.783,0.59452,0.99384,1.2457,0.79117,1,0.995,0.54725,1.8743,1.16576,2.75098,9.91865e-05,9.91865e-05,9.91865e-05
97,248.924,0.55554,0.87667,1.19601,0.7961,1,0.995,0.597,1.84147,1.13881,2.70242,8.26832e-05,8.26832e-05,8.26832e-05
98,250.07,0.53136,0.79699,1.18276,0.79724,1,0.995,0.597,1.8609,1.14462,2.73758,6.61799e-05,6.61799e-05,6.61799e-05
99,251.205,0.49415,0.72682,1.08069,0.75567,1,0.995,0.597,1.8571,1.1734,2.73728,4.96766e-05,4.96766e-05,4.96766e-05
100,252.366,0.46562,0.67398,1.09212,0.75295,1,0.995,0.597,1.81377,1.1513,2.67836,3.31733e-05,3.31733e-05,3.31733e-05
